t,visible,lateral,tamano,confianza,vx,wz
22.571,1,0.3775,0.6661,0.920,0.0000,-0.4531
22.648,1,0.3910,0.6665,0.916,0.0000,-0.4692
22.702,1,0.4064,0.6670,0.922,0.0000,-0.4877
22.756,1,0.4209,0.6671,0.916,0.0000,-0.5051
22.807,1,0.4350,0.6675,0.907,0.0000,-0.5220
22.871,1,0.4464,0.6680,0.905,0.0000,-0.5357
22.938,1,0.4563,0.6684,0.909,0.0000,-0.5476
23.007,1,0.4656,0.6686,0.915,0.0000,-0.5587
23.069,1,0.4715,0.6700,0.919,0.0000,-0.5658
23.138,1,0.4791,0.6701,0.919,0.0000,-0.5749
23.207,1,0.4867,0.6699,0.918,0.0000,-0.5840
23.270,1,0.4928,0.6693,0.919,0.0000,-0.5914
23.337,1,0.4969,0.6695,0.920,0.0000,-0.5963
23.403,1,0.4974,0.6691,0.924,0.0000,-0.5969
23.469,1,0.4922,0.6699,0.923,0.0000,-0.5907
23.538,1,0.4850,0.6700,0.914,0.0000,-0.5820
23.602,1,0.4756,0.6710,0.910,0.0000,-0.5708
23.670,1,0.4652,0.6712,0.912,0.0000,-0.5583
23.738,1,0.4473,0.6697,0.912,0.0000,-0.5368
23.803,1,0.4270,0.6699,0.920,0.0000,-0.5124
23.871,1,0.4038,0.6667,0.925,0.0000,-0.4846
23.935,1,0.3757,0.6621,0.914,0.0000,-0.4509
24.002,1,0.3381,0.6616,0.913,0.0000,-0.4106
24.064,1,0.2891,0.6607,0.911,0.0000,-0.3738
24.134,1,0.2364,0.6571,0.919,0.0000,-0.3319
24.202,1,0.1828,0.6566,0.908,0.0000,-0.2910
24.270,1,0.1322,0.6598,0.903,0.0000,-0.2502
24.335,1,0.0887,0.6637,0.916,0.0000,-0.2114
24.401,1,0.0510,0.6676,0.909,0.0000,-0.1714
24.467,1,0.0206,0.6721,0.927,0.0000,-0.1317
24.520,1,0.0000,0.6740,0.928,0.0000,-0.1000
24.572,1,-0.0148,0.6723,0.924,0.0000,-0.0688
24.634,1,-0.0289,0.6729,0.922,0.0000,-0.0316
24.701,1,-0.0394,0.6719,0.918,0.0000,0.0000
24.766,1,-0.0470,0.6694,0.916,0.0000,0.0000
24.833,1,-0.0534,0.6693,0.914,0.0000,0.0000
24.903,1,-0.0574,0.6689,0.912,0.0000,0.0000
24.967,1,-0.0624,0.6686,0.918,0.0000,0.0000
25.033,1,-0.0678,0.6675,0.922,0.0000,0.0000
25.098,1,-0.0736,0.6651,0.921,0.0000,0.0000
25.167,1,-0.0764,0.6619,0.918,0.0000,0.0000
25.235,1,-0.0780,0.6584,0.919,0.0000,0.0000
25.298,1,-0.0794,0.6544,0.918,0.0000,0.0000
25.367,1,-0.0839,0.6489,0.913,0.0000,0.0000
25.435,1,-0.0843,0.6415,0.904,0.0000,0.0000
25.498,1,-0.0806,0.6332,0.900,0.0000,0.0000
25.566,1,-0.0760,0.6268,0.898,0.0000,0.0000
25.633,1,-0.0735,0.6205,0.897,0.0000,0.0000
25.699,1,-0.0743,0.6146,0.898,0.0000,0.0000
25.767,1,-0.0779,0.6088,0.895,0.0000,0.0000
25.828,1,-0.0821,0.6037,0.904,0.0000,0.0000
25.899,1,-0.0869,0.5960,0.904,0.0000,0.0000
25.966,1,-0.0950,0.5873,0.901,0.0000,0.0000
26.030,1,-0.1075,0.5818,0.895,0.0000,0.0000
26.098,1,-0.1189,0.5776,0.890,0.0000,0.0000
26.162,1,-0.1320,0.5727,0.894,0.0000,0.0000
26.217,1,-0.1433,0.5668,0.899,0.0000,0.0000
26.270,1,-0.1564,0.5612,0.901,0.0000,0.0322
26.330,1,-0.1665,0.5557,0.898,0.0000,0.0678
26.397,1,-0.1732,0.5491,0.899,0.0000,0.1083
26.462,1,-0.1764,0.5441,0.898,0.0000,0.1469
26.532,1,-0.1752,0.5395,0.889,0.0000,0.1889
26.598,1,-0.1700,0.5343,0.898,0.0000,0.2291
26.662,1,-0.1602,0.5300,0.890,0.0000,0.2500
26.723,1,-0.1491,0.5234,0.898,0.0000,0.2138
26.795,1,-0.1361,0.5186,0.895,0.0000,0.1701
26.863,1,-0.1210,0.5139,0.893,0.0000,0.1295
26.931,1,-0.1102,0.5101,0.901,0.0000,0.0884
26.995,1,-0.1031,0.5058,0.906,0.0000,0.0505
27.062,1,-0.1002,0.5013,0.903,0.0000,0.0100
27.131,1,-0.0998,0.4976,0.895,0.0413,0.0000
27.195,1,-0.1020,0.4934,0.898,0.0797,0.0000
27.262,1,-0.1075,0.4892,0.894,0.1201,0.0000
27.326,1,-0.1146,0.4837,0.894,0.1581,0.0000
27.395,1,-0.1224,0.4798,0.887,0.1997,0.0000
27.462,1,-0.1307,0.4773,0.880,0.2000,0.0000
27.527,1,-0.1381,0.4749,0.893,0.2000,0.0000
27.595,1,-0.1440,0.4728,0.906,0.2000,0.0000
27.662,1,-0.1478,0.4706,0.914,0.2000,0.0000
27.728,1,-0.1496,0.4673,0.918,0.2000,0.0000
27.795,1,-0.1489,0.4627,0.906,0.2000,0.0000
27.858,1,-0.1446,0.4590,0.898,0.2000,0.0000
27.912,1,-0.1397,0.4558,0.895,0.2018,0.0000
27.965,1,-0.1346,0.4529,0.893,0.2059,0.0000
28.025,1,-0.1284,0.4501,0.894,0.2098,0.0000
28.093,1,-0.1223,0.4474,0.890,0.2136,0.0000
28.158,1,-0.1157,0.4462,0.887,0.2153,0.0000
28.226,1,-0.1116,0.4451,0.888,0.2168,0.0000
28.293,1,-0.1103,0.4442,0.894,0.2182,0.0000
28.357,1,-0.1095,0.4434,0.897,0.2192,0.0000
28.426,1,-0.1096,0.4420,0.895,0.2212,0.0000
28.489,1,-0.1094,0.4400,0.892,0.2240,0.0000
28.542,1,-0.1093,0.4376,0.892,0.2274,0.0000
28.630,1,-0.1101,0.4347,0.893,0.2314,0.0000
28.699,1,-0.1128,0.4320,0.895,0.2353,0.0000
28.759,1,-0.1167,0.4296,0.898,0.2386,0.0000
28.811,1,-0.1209,0.4282,0.900,0.2405,0.0000
28.896,1,-0.1249,0.4279,0.899,0.2409,0.0000
28.943,1,-0.1286,0.4278,0.901,0.2411,0.0000
29.029,1,-0.1316,0.4277,0.902,0.2413,0.0000
29.111,1,-0.1337,0.4276,0.902,0.2414,0.0000
29.158,1,-0.1351,0.4274,0.903,0.2416,0.0000
29.222,1,-0.1358,0.4271,0.901,0.2420,0.0000
29.290,1,-0.1350,0.4265,0.898,0.2429,0.0000
29.358,1,-0.1322,0.4258,0.896,0.2438,0.0000
29.422,1,-0.1288,0.4238,0.895,0.2466,0.0000
29.491,1,-0.1247,0.4221,0.899,0.2491,0.0000
29.554,1,-0.1188,0.4211,0.903,0.2505,0.0000
29.604,1,-0.1133,0.4202,0.904,0.2518,0.0000
29.643,1,-0.1078,0.4200,0.898,0.2521,0.0000
29.725,1,-0.1015,0.4208,0.891,0.2508,0.0000
29.809,1,-0.0950,0.4213,0.887,0.2501,0.0000
29.861,1,-0.0895,0.4208,0.883,0.2509,0.0000
29.922,1,-0.0845,0.4206,0.886,0.2512,0.0000
29.990,1,-0.0803,0.4201,0.892,0.2518,0.0000
30.054,1,-0.0775,0.4196,0.891,0.2526,0.0000
30.122,1,-0.0751,0.4192,0.890,0.2531,0.0000
30.185,1,-0.0736,0.4186,0.893,0.2540,0.0000
30.254,1,-0.0728,0.4178,0.896,0.2551,0.0000
30.321,1,-0.0721,0.4170,0.898,0.2562,0.0000
30.387,1,-0.0717,0.4163,0.900,0.2572,0.0000
30.454,1,-0.0713,0.4158,0.900,0.2579,0.0000
30.523,1,-0.0710,0.4153,0.899,0.2586,0.0000
30.585,1,-0.0709,0.4149,0.898,0.2591,0.0000
30.654,1,-0.0706,0.4146,0.899,0.2595,0.0000
30.718,1,-0.0703,0.4143,0.898,0.2600,0.0000
30.773,1,-0.0701,0.4140,0.899,0.2604,0.0000
30.860,1,-0.0703,0.4137,0.899,0.2608,0.0000
30.947,1,-0.0703,0.4136,0.899,0.2610,0.0000
31.003,1,-0.0705,0.4133,0.900,0.2614,0.0000
31.056,1,-0.0704,0.4132,0.898,0.2616,0.0000
31.103,1,-0.0705,0.4132,0.897,0.2615,0.0000
31.213,1,-0.0705,0.4131,0.900,0.2617,0.0000
